"Lender Name","Terms","Inquiries","Credit Bureau","States","Credit Score","Emp Length","credit_history","url","","","","","","","","","","","","","","","","",""
"Discover Loans","36,48,60,72,or 84 months","recommend no more than 5 recent . Auto and mortgage Inquiries can be looked over,they are more concerned about credit card inquiries.","Experian","All U.S. States","700","No minimum employment length","Minimum Credit history of 2 years required.","www.discover.com","","","","","","","","","","","","","","","","",""
"Earnest","36,48,or 72 months","no more than 5 In last 12 months","Experian","N/A : Alabama , Delaware,Kentucky,Nevad,or Rhode Island","680","no minimum employment length","Funding may not be used for college tuition : to pay for tuition at an accredited (Title IV) institution, business capital, or real estate","www.earnest.com","","","","","","","","","","","","","","","","",""
"Lending Club","Fixed monthly payments","No more than 5 In last 24 months","TransUnion","N/A lowa, Guam and Puerto Rico","no minimum","no minimum employment length","minimum of at least 1 active account . No other age requirement No more than two loans open at the same time.","www.lendingclub.com","","","","","","","","","","","","","","","","",""
"Marcus by Goldman Sachs","36 to 72 months","No more than 6 in last 12 months","TU- hard inquiry","N/A : Maryland","650","1 year minimum","only 1 loan per customer . Must have a valid U.S bank account and Social Security or Individual Tax I.D number","www.marcus.com","","","","","","","","","","","","","","","","",""
"payoff","2-5 years","Inquiries are not a factor","Experian","N/A DC,DE,IA,MA,MI,MN,MS.NC,NE,NV,OH,OK,VA,VT,WA,WI,and WV","640","no minimum employment length","minimum of 3 years history and 2 open tradelines","www.payoff.com","","","","","","","","","","","","","","","","",""
"Prosper","3 or 5 years","No more than 7 inquries within the last 12 months","Experian soft inquiry","N/A : North Dakota , lowa , west , virginia , pennsylvania , maine","640","no minimum employment length","no credit file age requirement . You cannot have a current loan open or in collections with prosper","www.prosper.com","","","","","","","","","","","","","","","","",""
"Sofi","36,48,or 75 months","No more than 4 in last 12 months","Experian Soft inquiry","N/A : MS","650","no minimum employment length","No specific requirements pertaining to age of accounts","www.sofi.com","","","","","","","","","","","","","","","","",""
"Upstart","3-5 years","No more than 6 inquiries on your credit in tha last 6 months excluding any inquiries related to student loans , vehicle loans , or mortgages .","TransUnion and equifax","N/A West Virginia","620","no minimum employment length","No new loans within the past 3 months .","www.upstart.com","","","","","","","","","","","","","","","","",""
