,lender_name,estimated_terms,url,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25
0,Klarna,6 Weeks (But Revolving Credit),https://www.klarna.com/us/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Afterpay,6 Weeks (But Revolving Credit),https://www.klarna.com/us/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Sezzle,6 Weeks (But Revolving Credit),https://sezzle.com/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Quadpay,6 Weeks (But Revolving Credit),https://www.quadpay.com/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Viabill,6 Weeks (But Revolving Credit),https://viabill.com/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Affirm,12 Months (No Hard Credit Check But It Does Show On Your Report As A Tradeline),https://www.affirm.com/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
